,Unnamed: 0,X,Y,RA,DEC,I,DI,Q,DQ,U,DU,P,DP,ANG,DANG,PI,DPI,AST,PCA,ID
114,1264,-8.5,0.5,344.13618333333335,62.031375,111.132,3.30367,7.36462,2.2132,-11.4335,0.754757,12.2378,1.27332,61.393299999999996,4.01275,13.6001,1.35608,1,1,2507
115,1265,-7.5,0.5,344.12907916666666,62.03137777777778,137.809,3.03058,7.84898,1.17026,-4.78369,2.43978,6.66999,1.18163,74.3195,6.76482,9.19186,1.6158,1,1,2508
116,1266,-6.5,0.5,344.1219708333333,62.03138055555556,225.332,1.88833,8.89567,1.377,-11.6408,2.1396,6.50181,0.842531,63.693200000000004,3.3212,14.6507,1.89452,1,1,2509
117,1267,-5.5,0.5,344.1148625,62.03138333333333,389.536,4.03179,-0.329052,1.58456,-14.7671,1.54957,3.79188,0.399734,44.3618,3.07322,14.7707,1.54958,1,1,2510
118,1268,-4.5,0.5,344.10775416666667,62.03138611111111,815.801,2.67561,-0.104928,1.03934,-21.8329,1.37501,2.67629,0.168775,44.8623,1.36376,21.8332,1.375,1,1,2511
119,1269,-3.5,0.5,344.1006458333333,62.03138611111111,2200.22,4.28134,-20.1429,1.8239,-57.5088,1.44958,2.76946,0.0681634,35.3484,0.840059,60.9344,1.49505,1,1,2512
120,1270,-2.5,0.5,344.0935416666667,62.03138888888889,3771.65,6.59214,-43.0109,2.37218,-76.0397,1.01074,2.31626,0.0389785,30.252899999999997,0.696473,87.3612,1.46218,1,1,2513
121,1271,-1.5,0.5,344.08643333333333,62.03138888888889,4399.04,6.15773,-34.8118,1.15068,-48.7733,2.19474,1.36217,0.0434005,27.2414,0.756351,59.9224,1.90737,1,1,2514
122,1272,-0.5,0.5,344.079325,62.03138888888889,6642.14,18.3906,-10.0911,3.01069,-17.237,2.33917,0.30071,0.0380629,29.826900000000002,4.09394,19.9736,2.52759,1,1,2515
123,1273,0.5,0.5,344.0722166666667,62.03138888888889,5723.68,4.78541,16.469,1.70536,12.8837,3.64025,0.36532,0.0456777,109.018,4.1837,20.9097,2.61439,1,1,2516
124,1274,1.5,0.5,344.0651125,62.03138888888889,1855.63,7.68973,18.0315,1.97257,-5.96216,2.6876,1.02346,0.110778,80.85169,3.96087,18.9916,2.05413,1,1,2517
125,1275,2.5,0.5,344.05800416666665,62.03138888888889,656.654,3.31975,9.80379,0.736688,-9.13907,2.45627,2.04108,0.268136,68.50489999999999,3.9876,13.4029,1.75942,1,1,2518
126,1276,3.5,0.5,344.05089583333336,62.03138888888889,236.944,2.95391,5.84187,1.50654,-4.71167,1.68382,3.16748,0.667483,70.5563,6.16947,7.50515,1.57879,1,1,2519
127,1279,7.5,0.5,344.0224666666667,62.03138055555556,209.223,2.35955,8.47753,1.68618,7.38445,1.73511,5.37356,0.818344,110.5289,4.36793,11.2427,1.70746,1,1,2523
